From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (biological process)	Gene Ontology (GO)	Gene Ontology (molecular function)
B6QII6	B6QII6	unreviewed	B6QII6_TALMQ	DSC E3 ubiquitin ligase complex subunit A (EC 2.3.2.27) (Defective for SREBP cleavage protein A) (RING-type E3 ubiquitin transferase dscA)	PMAA_097700	Talaromyces marneffei (strain ATCC 18224 / CBS 334.59 / QM 7333) (Penicillium marneffei)	820	proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]	Dsc E3 ubiquitin ligase complex [GO:0044695]; endomembrane system [GO:0012505]; ligase activity [GO:0016874]; ubiquitin protein ligase activity [GO:0061630]; zinc ion binding [GO:0008270]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]	ligase activity [GO:0016874]; ubiquitin protein ligase activity [GO:0061630]; zinc ion binding [GO:0008270]
A0A225AAV8	A0A225AAV8	unreviewed	A0A225AAV8_9EURO	Zinc transporter	UA08_08899	Talaromyces atroroseus	475	intracellular zinc ion homeostasis [GO:0006882]; zinc ion import into Golgi lumen [GO:1904257]	cytoplasmic vesicle [GO:0031410]; endoplasmic reticulum membrane [GO:0005789]; Golgi apparatus [GO:0005794]; zinc ion transmembrane transporter activity [GO:0005385]; intracellular zinc ion homeostasis [GO:0006882]; zinc ion import into Golgi lumen [GO:1904257]	zinc ion transmembrane transporter activity [GO:0005385]
A0A225A679	A0A225A679	unreviewed	A0A225A679_9EURO	NADH-ubiquinone oxidoreductase 14 kDa subunit	UA08_08900	Talaromyces atroroseus	95		membrane [GO:0016020]	
A0A225A5V3	A0A225A5V3	unreviewed	A0A225A5V3_9EURO	BOD1/SHG1 domain-containing protein	UA08_08901	Talaromyces atroroseus	795			
B8MK42	B8MK42	unreviewed	B8MK42_TALSN	Translation initiation factor eIF4E, putative	TSTA_043340	Talaromyces stipitatus (strain ATCC 10500 / CBS 375.48 / QM 6759 / NRRL 1006) (Penicillium stipitatum)	248	regulation of translation [GO:0006417]	eukaryotic translation initiation factor 4F complex [GO:0016281]; RNA 7-methylguanosine cap binding [GO:0000340]; translation initiation factor activity [GO:0003743]; regulation of translation [GO:0006417]	RNA 7-methylguanosine cap binding [GO:0000340]; translation initiation factor activity [GO:0003743]
A0A225AQW6	A0A225AQW6	unreviewed	A0A225AQW6_9EURO	Ribosome assembly protein 3	UA08_08903	Talaromyces atroroseus	248	box C/D snoRNP assembly [GO:0000492]	box C/D snoRNP assembly [GO:0000492]	
A0A225ALP9	A0A225ALP9	unreviewed	A0A225ALP9_9EURO	guanosine-diphosphatase (EC 3.6.1.42)	UA08_08904	Talaromyces atroroseus	552	nucleoside diphosphate catabolic process [GO:0009134]; protein N-linked glycosylation [GO:0006487]	Golgi membrane [GO:0000139]; ATP binding [GO:0005524]; GDP phosphatase activity [GO:0004382]; ribonucleoside triphosphate phosphatase activity [GO:0017111]; UDP phosphatase activity [GO:0045134]; nucleoside diphosphate catabolic process [GO:0009134]; protein N-linked glycosylation [GO:0006487]	ATP binding [GO:0005524]; GDP phosphatase activity [GO:0004382]; ribonucleoside triphosphate phosphatase activity [GO:0017111]; UDP phosphatase activity [GO:0045134]
A0A225A8L8	A0A225A8L8	unreviewed	A0A225A8L8_9EURO	FAD-binding PCMH-type domain-containing protein	UA08_07505	Talaromyces atroroseus	469		FAD binding [GO:0071949]; oxidoreductase activity [GO:0016491]	FAD binding [GO:0071949]; oxidoreductase activity [GO:0016491]
A0A225AN38	A0A225AN38	unreviewed	A0A225AN38_9EURO	TauD/TfdA-like domain-containing protein	UA08_08905	Talaromyces atroroseus	346		dioxygenase activity [GO:0051213]	dioxygenase activity [GO:0051213]
A0A225AD49	A0A225AD49	unreviewed	A0A225AD49_9EURO	Cyclophilin-like superfamily protein	UA08_08906	Talaromyces atroroseus	155			
A0A225AK05	A0A225AK05	unreviewed	A0A225AK05_9EURO	Transcription factor domain-containing protein	UA08_08907	Talaromyces atroroseus	580		nucleus [GO:0005634]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; transcription cis-regulatory region binding [GO:0000976]	DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; transcription cis-regulatory region binding [GO:0000976]
A0A225ANB7	A0A225ANB7	unreviewed	A0A225ANB7_9EURO	Amino acid permease/ SLC12A domain-containing protein	UA08_08909	Talaromyces atroroseus	527		membrane [GO:0016020]; amino acid transmembrane transporter activity [GO:0015171]	amino acid transmembrane transporter activity [GO:0015171]
A0A225ALX6	A0A225ALX6	unreviewed	A0A225ALX6_9EURO	Translation initiation factor 3 N-terminal domain-containing protein	UA08_08910	Talaromyces atroroseus	242	mitochondrial translational initiation [GO:0070124]; ribosome disassembly [GO:0032790]	mitochondrion [GO:0005739]; ribosome binding [GO:0043022]; translation initiation factor activity [GO:0003743]; mitochondrial translational initiation [GO:0070124]; ribosome disassembly [GO:0032790]	ribosome binding [GO:0043022]; translation initiation factor activity [GO:0003743]
A0A225AB11	A0A225AB11	unreviewed	A0A225AB11_9EURO	Elongation factor Tu	UA08_08911	Talaromyces atroroseus	442	mitochondrial translational elongation [GO:0070125]	mitochondrion [GO:0005739]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; translation elongation factor activity [GO:0003746]; mitochondrial translational elongation [GO:0070125]	GTP binding [GO:0005525]; GTPase activity [GO:0003924]; translation elongation factor activity [GO:0003746]
B6QR29	B6QR29	unreviewed	B6QR29_TALMQ	Ubiquitin domain protein, putative	PMAA_042710	Talaromyces marneffei (strain ATCC 18224 / CBS 334.59 / QM 7333) (Penicillium marneffei)	299			
B6Q4B7	B6Q4B7	unreviewed	B6Q4B7_TALMQ	NACHT domain-containing protein	PMAA_030400	Talaromyces marneffei (strain ATCC 18224 / CBS 334.59 / QM 7333) (Penicillium marneffei)	1239			
A0A0U1MB97	A0A0U1MB97	unreviewed	A0A0U1MB97_TALIS	Uncharacterized protein	PISL3812_09959	Talaromyces islandicus (Penicillium islandicum)	222			
A0A6V8HK35	A0A6V8HK35	unreviewed	A0A6V8HK35_TALPI	FAD-binding domain-containing protein	TCE0_042r15031	Talaromyces pinophilus (Penicillium pinophilum)	702		membrane [GO:0016020]; FAD binding [GO:0071949]; lyase activity [GO:0016829]; monooxygenase activity [GO:0004497]	FAD binding [GO:0071949]; lyase activity [GO:0016829]; monooxygenase activity [GO:0004497]
B6Q6C2	B6Q6C2	unreviewed	B6Q6C2_TALMQ	ATP-dependent DNA helicase PIF1 (EC 3.6.4.12) (DNA repair and recombination helicase PIF1)	PIF1 PMAA_034000	Talaromyces marneffei (strain ATCC 18224 / CBS 334.59 / QM 7333) (Penicillium marneffei)	802	DNA recombination [GO:0006310]; DNA repair [GO:0006281]; mitochondrial genome maintenance [GO:0000002]; telomere maintenance [GO:0000723]	mitochondrion [GO:0005739]; nucleus [GO:0005634]; 5'-3' DNA helicase activity [GO:0043139]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA binding [GO:0003677]; DNA recombination [GO:0006310]; DNA repair [GO:0006281]; mitochondrial genome maintenance [GO:0000002]; telomere maintenance [GO:0000723]	5'-3' DNA helicase activity [GO:0043139]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA binding [GO:0003677]
A0A7H8QIP7	A0A7H8QIP7	unreviewed	A0A7H8QIP7_TALRU	C2H2-type domain-containing protein	TRUGW13939_00393	Talaromyces rugulosus (Penicillium rugulosum)	304	regulation of transcription by RNA polymerase II [GO:0006357]	nucleus [GO:0005634]; zinc ion binding [GO:0008270]; regulation of transcription by RNA polymerase II [GO:0006357]	zinc ion binding [GO:0008270]
A0AAD4PZP5	A0AAD4PZP5	unreviewed	A0AAD4PZP5_9EURO	Pre-mRNA splicing factor component-domain-containing protein	BGW36DRAFT_320978	Talaromyces proteolyticus	786	mRNA splicing, via spliceosome [GO:0000398]	Prp19 complex [GO:0000974]; spliceosomal complex [GO:0005681]; mRNA splicing, via spliceosome [GO:0000398]	
A0AAD4KQX1	A0AAD4KQX1	unreviewed	A0AAD4KQX1_9EURO	Uridine permease Fui1	BGW36DRAFT_293392	Talaromyces proteolyticus	559		plasma membrane [GO:0005886]; nucleobase transmembrane transporter activity [GO:0015205]	nucleobase transmembrane transporter activity [GO:0015205]
A0A510NVQ6	A0A510NVQ6	unreviewed	A0A510NVQ6_TALPI	PH domain-containing protein	TCE0_018r05349	Talaromyces pinophilus (Penicillium pinophilum)	796			
A0A6V8H3K5	A0A6V8H3K5	unreviewed	A0A6V8H3K5_TALPI	Diacylglycerol O-acyltransferase (EC 2.3.1.20)	TCE0_017r04598	Talaromyces pinophilus (Penicillium pinophilum)	370	glycerol metabolic process [GO:0006071]; triglyceride biosynthetic process [GO:0019432]	endoplasmic reticulum membrane [GO:0005789]; diacylglycerol O-acyltransferase activity [GO:0004144]; glycerol metabolic process [GO:0006071]; triglyceride biosynthetic process [GO:0019432]	diacylglycerol O-acyltransferase activity [GO:0004144]
A0AAD4KXU1	A0AAD4KXU1	unreviewed	A0AAD4KXU1_9EURO	NACHT domain-containing protein	BGW36DRAFT_354957	Talaromyces proteolyticus	1352			
A0A225BA23	A0A225BA23	unreviewed	A0A225BA23_9EURO	proline--tRNA ligase (EC 6.1.1.15) (Prolyl-tRNA synthetase)	UA08_00255	Talaromyces atroroseus	590	prolyl-tRNA aminoacylation [GO:0006433]	aminoacyl-tRNA synthetase multienzyme complex [GO:0017101]; cytoplasm [GO:0005737]; ATP binding [GO:0005524]; proline-tRNA ligase activity [GO:0004827]; prolyl-tRNA aminoacylation [GO:0006433]	ATP binding [GO:0005524]; proline-tRNA ligase activity [GO:0004827]
B6QAF4	B6QAF4	unreviewed	B6QAF4_TALMQ	Acetyl-CoA synthetase, putative	PMAA_073260	Talaromyces marneffei (strain ATCC 18224 / CBS 334.59 / QM 7333) (Penicillium marneffei)	687	lipid metabolic process [GO:0006629]	acetoacetate-CoA ligase activity [GO:0030729]; lipid metabolic process [GO:0006629]	acetoacetate-CoA ligase activity [GO:0030729]
A0A225BBF3	A0A225BBF3	unreviewed	A0A225BBF3_9EURO	Uncharacterized protein	UA08_00254	Talaromyces atroroseus	620			
A0A225ARM9	A0A225ARM9	unreviewed	A0A225ARM9_9EURO	Phosphatidylethanolamine N-methyltransferase (PE methyltransferase) (PEAMT) (PEMT) (EC 2.1.1.17)	UA08_00252	Talaromyces atroroseus	991	methylation [GO:0032259]; phosphatidylcholine biosynthetic process [GO:0006656]	cortical endoplasmic reticulum [GO:0032541]; endoplasmic reticulum membrane [GO:0005789]; perinuclear endoplasmic reticulum [GO:0097038]; phosphatidylethanolamine N-methyltransferase activity [GO:0004608]; methylation [GO:0032259]; phosphatidylcholine biosynthetic process [GO:0006656]	phosphatidylethanolamine N-methyltransferase activity [GO:0004608]
A0A225AWS7	A0A225AWS7	unreviewed	A0A225AWS7_9EURO	Nucleoporin Nup120/160	UA08_04475	Talaromyces atroroseus	1310	macromolecule localization [GO:0033036]	nuclear pore [GO:0005643]; structural constituent of nuclear pore [GO:0017056]; macromolecule localization [GO:0033036]	structural constituent of nuclear pore [GO:0017056]
A0A225ATH0	A0A225ATH0	unreviewed	A0A225ATH0_9EURO	Cytosolic Fe-S cluster assembly factor nbp35	NBP35 UA08_00251	Talaromyces atroroseus	340	iron-sulfur cluster assembly [GO:0016226]	cytosol [GO:0005829]; 4 iron, 4 sulfur cluster binding [GO:0051539]; ATP binding [GO:0005524]; ATP-dependent FeS chaperone activity [GO:0140663]; metal ion binding [GO:0046872]; iron-sulfur cluster assembly [GO:0016226]	4 iron, 4 sulfur cluster binding [GO:0051539]; ATP binding [GO:0005524]; ATP-dependent FeS chaperone activity [GO:0140663]; metal ion binding [GO:0046872]
A0AAD4Q5J6	A0AAD4Q5J6	unreviewed	A0AAD4Q5J6_9EURO	ABC transporter	BGW36DRAFT_444629	Talaromyces proteolyticus	1369		membrane [GO:0016020]; ABC-type transporter activity [GO:0140359]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]	ABC-type transporter activity [GO:0140359]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]
A0A225B821	A0A225B821	unreviewed	A0A225B821_9EURO	Putative aspergillopepsin A-like aspartic endopeptidase	UA08_00250	Talaromyces atroroseus	429	proteolysis [GO:0006508]	extracellular region [GO:0005576]; aspartic-type endopeptidase activity [GO:0004190]; proteolysis [GO:0006508]	aspartic-type endopeptidase activity [GO:0004190]
A0A093V4L6	A0A093V4L6	unreviewed	A0A093V4L6_TALMA	Mannan polymerase II complex ANP1 subunit	GQ26_0550110	Talaromyces marneffei PM1	987	cell wall mannoprotein biosynthetic process [GO:0000032]; protein N-linked glycosylation [GO:0006487]	mannan polymerase complex [GO:0000136]; alpha-1,6-mannosyltransferase activity [GO:0000009]; tRNA binding [GO:0000049]; cell wall mannoprotein biosynthetic process [GO:0000032]; protein N-linked glycosylation [GO:0006487]	alpha-1,6-mannosyltransferase activity [GO:0000009]; tRNA binding [GO:0000049]
A0A225AQY9	A0A225AQY9	unreviewed	A0A225AQY9_9EURO	Sister chromatid cohesion protein Dcc1	UA08_00247	Talaromyces atroroseus	413	DNA replication [GO:0006260]; maintenance of mitotic sister chromatid cohesion [GO:0034088]	chromatin [GO:0000785]; chromosome, centromeric region [GO:0000775]; Ctf18 RFC-like complex [GO:0031390]; DNA replication [GO:0006260]; maintenance of mitotic sister chromatid cohesion [GO:0034088]	
A0A225AWN4	A0A225AWN4	unreviewed	A0A225AWN4_9EURO	LYC1 C-terminal domain-containing protein	UA08_00246	Talaromyces atroroseus	397			
A0A225AZZ2	A0A225AZZ2	unreviewed	A0A225AZZ2_9EURO	RING-type domain-containing protein	UA08_00245	Talaromyces atroroseus	860		transferase activity [GO:0016740]; zinc ion binding [GO:0008270]	transferase activity [GO:0016740]; zinc ion binding [GO:0008270]
A0A225BAT5	A0A225BAT5	unreviewed	A0A225BAT5_9EURO	HORMA domain-containing protein	UA08_00244	Talaromyces atroroseus	287		zeta DNA polymerase complex [GO:0016035]	
A0A225B2S1	A0A225B2S1	unreviewed	A0A225B2S1_9EURO	Importin N-terminal domain-containing protein	UA08_00243	Talaromyces atroroseus	1037	protein import into nucleus [GO:0006606]	cytosol [GO:0005829]; nuclear envelope [GO:0005635]; small GTPase binding [GO:0031267]; protein import into nucleus [GO:0006606]	small GTPase binding [GO:0031267]
B8MIW4	B8MIW4	unreviewed	B8MIW4_TALSN	Protein phosphatase regulatory subunit Gac1, putative	TSTA_050640	Talaromyces stipitatus (strain ATCC 10500 / CBS 375.48 / QM 6759 / NRRL 1006) (Penicillium stipitatum)	600	regulation of glycogen biosynthetic process [GO:0005979]	protein phosphatase type 1 complex [GO:0000164]; glycogen binding [GO:2001069]; protein phosphatase 1 binding [GO:0008157]; regulation of glycogen biosynthetic process [GO:0005979]	glycogen binding [GO:2001069]; protein phosphatase 1 binding [GO:0008157]
A0A225B7C7	A0A225B7C7	unreviewed	A0A225B7C7_9EURO	Uncharacterized protein	UA08_00242	Talaromyces atroroseus	241			
A0A225ANA0	A0A225ANA0	unreviewed	A0A225ANA0_9EURO	Uncharacterized protein	UA08_08098	Talaromyces atroroseus	785		heme binding [GO:0020037]; iron ion binding [GO:0005506]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen [GO:0016712]	heme binding [GO:0020037]; iron ion binding [GO:0005506]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen [GO:0016712]
A0A364L365	A0A364L365	unreviewed	A0A364L365_TALAM	DNA excision repair protein	BHQ10_006257	Talaromyces amestolkiae	1057		nucleus [GO:0005634]; ATP binding [GO:0005524]; hydrolase activity [GO:0016787]	ATP binding [GO:0005524]; hydrolase activity [GO:0016787]
A0A225B0Q4	A0A225B0Q4	unreviewed	A0A225B0Q4_9EURO	HET-C domain protein HetC	UA08_00239	Talaromyces atroroseus	741			
B8MBP3	B8MBP3	unreviewed	B8MBP3_TALSN	Hsp90 binding co-chaperone (Sba1), putative	TSTA_119390	Talaromyces stipitatus (strain ATCC 10500 / CBS 375.48 / QM 6759 / NRRL 1006) (Penicillium stipitatum)	193	chaperone-mediated protein complex assembly [GO:0051131]; protein folding [GO:0006457]	cytosol [GO:0005829]; nucleus [GO:0005634]; Hsp90 protein binding [GO:0051879]; protein-folding chaperone binding [GO:0051087]; chaperone-mediated protein complex assembly [GO:0051131]; protein folding [GO:0006457]	Hsp90 protein binding [GO:0051879]; protein-folding chaperone binding [GO:0051087]
A0A225AQX9	A0A225AQX9	unreviewed	A0A225AQX9_9EURO	Phytanoyl-CoA dioxygenase family protein	UA08_00240	Talaromyces atroroseus	311			
A0A364L7Q8	A0A364L7Q8	unreviewed	A0A364L7Q8_TALAM	Tetratricopeptide SHNi-TPR domain-containing protein	BHQ10_007815	Talaromyces amestolkiae	431	CENP-A containing chromatin assembly [GO:0034080]; DNA replication-dependent chromatin assembly [GO:0006335]	nucleoplasm [GO:0005654]; histone binding [GO:0042393]; CENP-A containing chromatin assembly [GO:0034080]; DNA replication-dependent chromatin assembly [GO:0006335]	histone binding [GO:0042393]
A0AAD4KFB9	A0AAD4KFB9	unreviewed	A0AAD4KFB9_9EURO	Ankyrin repeat-containing domain protein	BGW36DRAFT_389130	Talaromyces proteolyticus	245			
A0AAD4KEW9	A0AAD4KEW9	unreviewed	A0AAD4KEW9_9EURO	Uncharacterized protein	BGW36DRAFT_439860	Talaromyces proteolyticus	414			
A0A6V8HH99	A0A6V8HH99	unreviewed	A0A6V8HH99_TALPI	Stress response protein NST1	TCE0_034r11293	Talaromyces pinophilus (Penicillium pinophilum)	1264		cytoplasm [GO:0005737]	
A0A225AKX0	A0A225AKX0	unreviewed	A0A225AKX0_9EURO	Extragenic suppressor of kinetochore protein 1	UA08_04730	Talaromyces atroroseus	1133		cytosol [GO:0005829]; nucleus [GO:0005634]; protein phosphatase binding [GO:0019903]; protein phosphatase regulator activity [GO:0019888]	protein phosphatase binding [GO:0019903]; protein phosphatase regulator activity [GO:0019888]
A0A7H8QMR0	A0A7H8QMR0	unreviewed	A0A7H8QMR0_TALRU	alpha-galactosidase (EC 3.2.1.22)	TRUGW13939_02311	Talaromyces rugulosus (Penicillium rugulosum)	1537	carbohydrate metabolic process [GO:0005975]; lipid metabolic process [GO:0006629]	membrane [GO:0016020]; alpha-galactosidase activity [GO:0004557]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]; carbohydrate metabolic process [GO:0005975]; lipid metabolic process [GO:0006629]	alpha-galactosidase activity [GO:0004557]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]
B8M4H6	B8M4H6	unreviewed	B8M4H6_TALSN	chitinase (EC 3.2.1.14)	TSTA_024930	Talaromyces stipitatus (strain ATCC 10500 / CBS 375.48 / QM 6759 / NRRL 1006) (Penicillium stipitatum)	425	chitin catabolic process [GO:0006032]; polysaccharide catabolic process [GO:0000272]	extracellular region [GO:0005576]; chitin binding [GO:0008061]; endochitinase activity [GO:0008843]; chitin catabolic process [GO:0006032]; polysaccharide catabolic process [GO:0000272]	chitin binding [GO:0008061]; endochitinase activity [GO:0008843]
A0A510NWK8	A0A510NWK8	unreviewed	A0A510NWK8_TALPI	Uncharacterized protein	TCE0_018r05857	Talaromyces pinophilus (Penicillium pinophilum)	653		FAD binding [GO:0071949]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]	FAD binding [GO:0071949]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]
A0A6V8H0D3	A0A6V8H0D3	unreviewed	A0A6V8H0D3_TALPI	Cytochrome P450	TCE0_015r02530	Talaromyces pinophilus (Penicillium pinophilum)	516		heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]	heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]
B8MQM1	B8MQM1	unreviewed	B8MQM1_TALSN	ABC transporter, putative	TSTA_059300	Talaromyces stipitatus (strain ATCC 10500 / CBS 375.48 / QM 6759 / NRRL 1006) (Penicillium stipitatum)	1505		plasma membrane [GO:0005886]; ABC-type transporter activity [GO:0140359]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]	ABC-type transporter activity [GO:0140359]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]
A0A1Q5Q8E3	A0A1Q5Q8E3	unreviewed	A0A1Q5Q8E3_9EURO	Pisatin demethylase	UA08_04237	Talaromyces atroroseus	502		membrane [GO:0016020]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]	heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]
B8MIJ2	B8MIJ2	unreviewed	B8MIJ2_TALSN	Reverse transcriptase zinc-binding domain-containing protein	TSTA_045460	Talaromyces stipitatus (strain ATCC 10500 / CBS 375.48 / QM 6759 / NRRL 1006) (Penicillium stipitatum)	153		membrane [GO:0016020]	
A0A1Q5Q8N6	A0A1Q5Q8N6	unreviewed	A0A1Q5Q8N6_9EURO	25-hydroxycholesterol 7-alpha-hydroxylase	UA08_04239	Talaromyces atroroseus	520		heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]	heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]
A0A0U1M315	A0A0U1M315	unreviewed	A0A0U1M315_TALIS	Putative HC-toxin efflux carrier TOXA	PISL3812_06943	Talaromyces islandicus (Penicillium islandicum)	562		plasma membrane [GO:0005886]; transmembrane transporter activity [GO:0022857]	transmembrane transporter activity [GO:0022857]
A0A225AF80	A0A225AF80	unreviewed	A0A225AF80_9EURO	Putative transporter	UA08_05892	Talaromyces atroroseus	540		membrane [GO:0016020]; cysteine transmembrane transporter activity [GO:0033229]	cysteine transmembrane transporter activity [GO:0033229]
A0A6V8HJG8	A0A6V8HJG8	unreviewed	A0A6V8HJG8_TALPI	Ubiquitination network signaling protein	TCE0_042f15225	Talaromyces pinophilus (Penicillium pinophilum)	1021		membrane [GO:0016020]	
A0A0U1MB98	A0A0U1MB98	unreviewed	A0A0U1MB98_TALIS	tetrahydrofolate synthase (EC 6.3.2.17) (Folylpoly-gamma-glutamate synthetase) (Tetrahydrofolylpolyglutamate synthase)	FPGS PISL3812_09931	Talaromyces islandicus (Penicillium islandicum)	1790	one-carbon metabolic process [GO:0006730]	cytosol [GO:0005829]; mitochondrion [GO:0005739]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; tetrahydrofolylpolyglutamate synthase activity [GO:0004326]; one-carbon metabolic process [GO:0006730]	ATP binding [GO:0005524]; metal ion binding [GO:0046872]; tetrahydrofolylpolyglutamate synthase activity [GO:0004326]
A0AAD4PW91	A0AAD4PW91	unreviewed	A0AAD4PW91_9EURO	Folylpolyglutamate synthase (EC 6.3.2.17) (Folylpoly-gamma-glutamate synthetase) (Tetrahydrofolylpolyglutamate synthase)	BGW36DRAFT_407574	Talaromyces proteolyticus	486	one-carbon metabolic process [GO:0006730]	cytosol [GO:0005829]; mitochondrial inner membrane [GO:0005743]; mitochondrial matrix [GO:0005759]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; tetrahydrofolylpolyglutamate synthase activity [GO:0004326]; one-carbon metabolic process [GO:0006730]	ATP binding [GO:0005524]; metal ion binding [GO:0046872]; tetrahydrofolylpolyglutamate synthase activity [GO:0004326]
A0A698XNH2	A0A698XNH2	unreviewed	A0A698XNH2_TALPI	DUF7779 domain-containing protein	TCE0_013r01096	Talaromyces pinophilus (Penicillium pinophilum)	739			
A0AAD4L2Z1	A0AAD4L2Z1	unreviewed	A0AAD4L2Z1_9EURO	Fungal-specific transcription factor domain-containing protein	BGW36DRAFT_367949	Talaromyces proteolyticus	739	DNA-templated transcription [GO:0006351]; positive regulation of transcription from RNA polymerase II promoter by galactose [GO:0000435]	nucleus [GO:0005634]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; zinc ion binding [GO:0008270]; DNA-templated transcription [GO:0006351]; positive regulation of transcription from RNA polymerase II promoter by galactose [GO:0000435]	DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; zinc ion binding [GO:0008270]
A0A225AIR6	A0A225AIR6	unreviewed	A0A225AIR6_9EURO	Uncharacterized protein	UA08_05893	Talaromyces atroroseus	194		membrane [GO:0016020]	
A0A225ADH8	A0A225ADH8	unreviewed	A0A225ADH8_9EURO	Protein AF-9 homolog	UA08_05894	Talaromyces atroroseus	260	DNA repair [GO:0006281]; regulation of DNA-templated transcription [GO:0006355]; subtelomeric heterochromatin formation [GO:0031509]	chromosome, telomeric region [GO:0000781]; NuA4 histone acetyltransferase complex [GO:0035267]; Swr1 complex [GO:0000812]; DNA repair [GO:0006281]; regulation of DNA-templated transcription [GO:0006355]; subtelomeric heterochromatin formation [GO:0031509]	
A0A225AKK3	A0A225AKK3	unreviewed	A0A225AKK3_9EURO	TLDc domain-containing protein	UA08_05897	Talaromyces atroroseus	606			
A0A225AI65	A0A225AI65	unreviewed	A0A225AI65_9EURO	Pre-mRNA-splicing factor SYF2	UA08_05896	Talaromyces atroroseus	288	mRNA splicing, via spliceosome [GO:0000398]	catalytic step 2 spliceosome [GO:0071013]; post-mRNA release spliceosomal complex [GO:0071014]; Prp19 complex [GO:0000974]; mRNA splicing, via spliceosome [GO:0000398]	
B8MUM8	B8MUM8	unreviewed	B8MUM8_TALSN	Uncharacterized protein	TSTA_108790	Talaromyces stipitatus (strain ATCC 10500 / CBS 375.48 / QM 6759 / NRRL 1006) (Penicillium stipitatum)	520			
B8MI55	B8MI55	unreviewed	B8MI55_TALSN	Azaphilone pigments biosynthesis cluster protein L N-terminal domain-containing protein	TSTA_022710	Talaromyces stipitatus (strain ATCC 10500 / CBS 375.48 / QM 6759 / NRRL 1006) (Penicillium stipitatum)	430			
A0A7H8R265	A0A7H8R265	unreviewed	A0A7H8R265_TALRU	Nephrocystin 3-like N-terminal domain-containing protein	TRUGW13939_07619	Talaromyces rugulosus (Penicillium rugulosum)	1249			
A0A7H8R4F1	A0A7H8R4F1	unreviewed	A0A7H8R4F1_TALRU	Azaphilone pigments biosynthesis cluster protein L N-terminal domain-containing protein	TRUGW13939_07620	Talaromyces rugulosus (Penicillium rugulosum)	277			
B8MFN9	B8MFN9	unreviewed	B8MFN9_TALSN	Heterokaryon incompatibility domain-containing protein	TSTA_020870	Talaromyces stipitatus (strain ATCC 10500 / CBS 375.48 / QM 6759 / NRRL 1006) (Penicillium stipitatum)	550			
