Organism	Entry	Gene.Ontology..GO.	Protein.names	keyword
Talaromyces atroroseus	A0A225AQ90	hydrolase activity [GO:0016787]	Calcineurin-like phosphoesterase domain-containing protein	calcineurin
Talaromyces atroroseus	A0A225AC32	hydrolase activity [GO:0016787]	Calcineurin-like phosphoesterase domain-containing protein	calcineurin
Talaromyces atroroseus	A0A1Q5Q847	hydrolase activity [GO:0016787]	Calcineurin-like phosphoesterase domain-containing protein	calcineurin
Talaromyces atroroseus	A0A225B8Q9	calcineurin complex [GO:0005955]; mitotic actomyosin contractile ring, intermediate layer [GO:0120105]; calmodulin binding [GO:0005516]; calmodulin-dependent protein phosphatase activity [GO:0033192]; calcineurin-mediated signaling [GO:0097720]; cellular response to calcium ion [GO:0071277]; negative regulation of calcium ion import across plasma membrane [GO:1905949]; positive regulation of mitotic actomyosin contractile ring contraction [GO:1903473]; positive regulation of mitotic division septum assembly [GO:0140281]; regulation of cell morphogenesis [GO:0022604]; regulation of septation initiation signaling [GO:0031029]	Serine/threonine-protein phosphatase (EC 3.1.3.16)	calcineurin
Talaromyces atroroseus	A0A225BAU1	hydrolase activity [GO:0016787]	Calcineurin-like phosphoesterase domain-containing protein	calcineurin
Talaromyces atroroseus	A0A225AHH3	endoplasmic reticulum [GO:0005783]; membrane [GO:0016020]; GPI anchor biosynthetic process [GO:0006506]	Calcineurin-like phosphoesterase domain-containing protein	calcineurin
Talaromyces atroroseus	A0A225AZB5	hydrolase activity [GO:0016787]	Calcineurin-like phosphoesterase domain-containing protein	calcineurin
Talaromyces atroroseus	A0A225AYB3	cytoplasm [GO:0005737]; membrane [GO:0016020]; phosphoprotein phosphatase activity [GO:0004721]	Calcineurin-like phosphoesterase domain-containing protein	calcineurin
Talaromyces atroroseus	A0A225AVM8	hydrolase activity [GO:0016787]	Calcineurin-like phosphoesterase domain-containing protein	calcineurin
Talaromyces atroroseus	A0A225B2H4	hydrolase activity [GO:0016787]	Calcineurin-like phosphoesterase domain-containing protein	calcineurin
Talaromyces atroroseus	A0A225ASY7	cytoplasm [GO:0005737]; hydrolase activity, acting on ester bonds [GO:0016788]	Calcineurin-like phosphoesterase domain-containing protein	calcineurin
Talaromyces marneffei (strain ATCC 18224 / CBS 334.59 / QM 7333) (Penicillium marneffei)	B6QVC3	calcium ion binding [GO:0005509]	Calcineurin subunit B (Calcineurin regulatory subunit) (Protein phosphatase 2B regulatory subunit)	calcineurin
Talaromyces rugulosus (Penicillium rugulosum)	A0A7H8QR83	hydrolase activity [GO:0016787]	Calcineurin-like phosphoesterase domain-containing protein	calcineurin
